Skills,Recommendee_ID,Average_Skill_Similarity
"['arts, English, instruction, Latin, letters, Logic, materials, math, presentations, progress, promotion, Read, research, Spanish, Spanish language,']",0,0.8532857298851013
"['Adobe, Photoshop, streamline, Attorney, audio, closing, Hardware, Computer Networking, client, clients, Customer Service, decision making,']",1,0.8795595765113831
"['Adobe products, Photoshop, interpersonal and communication, oral, Credit, critical thinking, resolve customer concerns, client, clients, database,']",10,0.8838454484939575
"['Executive Level, Operations, Proposals,Â Coaching, Teaching,Â Quality Control, Corrective Action, Human Resources, Strategic Planning,']",100,0.8708904981613159
"['Microsoft Office (Excel, Power Point, and Access expertise), Internet, PC/MAC software proficiency,']",101,0.8726502060890198
"['Loans, Mortgage, Sales, And Sales, Mortgage Loans, Clients, Escrow, Multi-family, Real Estate, Sales Goals, Sales Meetings, Accounts And, AllSales, Audits, Basis, Cash, Closing, Coaching, Consultative Sales, Customer Accounts, Customer Service, Effective Sales, Lending, Operations,']",102,0.8639735579490662
"['Accounting, Accounting Software, Accounts Payables, accounts payable, Accounts Receivables, accrual, administrative, administrative support,']",103,0.8735219240188599
"['Word programs (including Excel and Access), EPIC and other']",104,0.9007082581520081
['Strong leadership skills'],105,0.9297435283660889
['Exceptional interpersonal communication'],106,0.9328359961509705
['â€¢ Excellent attention to details'],107,0.9141971468925476
"['Microsoft Office (Power-point), Presentation Skills, Social Media Branding,']",108,0.914453387260437
,109,0.0
,11,0.0
"['A+, Active Directory, agile, Avaya, call center, Excellent communication, CA, Hardware, contracts, critical thinking, customer service, decision-']",110,0.8703241944313049
"['Marketing, Fundraising, Graphic Design, Healthcare, Billing, Claims, Receivables, Accountable For, Auto Insurance, Compensation,']",111,0.8888489603996277
['Strong leadership'],112,0.9561819434165955
"['IT: Excel, Access']",113,0.9526620507240295
"['Active Directory, API, backup, Bloomberg, bonds, Budgeting, budget, business management, Business Planning, Cisco, hardware, Conflict']",114,0.882401704788208
['Staff development'],115,0.969793975353241
"['Accounting, ADP, analytical skills, AP, AR, Benefits, billing, Call center, Great communication skills, Interpersonal skills, credit, clients, Customer']",116,0.8718637824058533
"['Asp, Asp.net, Model View Controller, Model-view-controller, Ms Asp, Mvc, .net, Access, Adp, Application Software, Asp.net 4.0, Associate,']",117,0.8619731068611145
"['Active Learner, Creative Problem Solving,Â']",118,0.9151670932769775
,119,0.0
"['Premier, banking, benefits, Billing, book, Business Administration, CRM, Clients, customer support, English, financial, focus, functional, funds,']",12,0.8633654117584229
"['Full understanding of all applicable policies, procedures, rules, and regulations.']",120,0.846520185470581
['Computers trouble shooting Microsoft Access Microsoft Excel Microsoft PowerPoint Microsoft Word Computer Security Anti Hacking'],121,0.8641390800476074
"['Account Reconciliations, accounting, accounting systems, Accounts Receivable, accruals, AP, AR, Attention to Detail, bookkeeping, budget, cash']",122,0.8725339770317078
