dir,subdir
0,218
0,391
1,233
1,289
1,412
1,869
10,481
10,955
10,962
100,424
101,24
101,318
101,482
101,882
102,177
102,818
103,428
103,857
104,5
105,146
105,587
105,621
105,641
106,45
106,510
106,511
106,839
107,143
107,15
107,24
107,511
108,172
108,563
108,982
109,371
109,587
109,617
11,586
11,970
110,21
110,503
111,555
111,605
111,608
111,70
112,242
112,343
112,459
113,340
113,758
113,829
114,545
114,731
114,854
115,125
115,216
115,274
115,308
115,339
115,38
115,385
115,799
115,870
116,149
116,172
116,319
116,557
117,114
117,248
117,552
117,594
117,716
118,144
118,395
118,44
118,599
118,814
119,183
119,199
119,425
119,704
119,730
119,949
12,10
12,202
120,444
120,787
121,220
121,465
121,704
122,54
122,650
122,707
122,857
123,706
124,163
124,316
124,329
125,208
125,573
125,582
126,780
126,89
127,246
127,259
127,263
127,299
127,615
127,763
127,802
127,871
128,177
128,289
128,335
128,553
128,706
129,445
129,689
129,703
129,887
13,786
13,987
130,251
130,83
130,967
130,987
131,59
131,91
133,168
133,294
133,438
133,562
133,633
133,708
134,110
134,293
134,320
134,779
134,829
135,138
135,860
136,906
136,981
137,205
137,228
137,342
137,497
137,589
137,648
137,776
137,887
138,123
138,335
138,442
138,443
138,544
138,784
138,902
139,740
139,907
14,837
140,156
140,276
140,882
142,240
142,470
142,832
143,174
143,24
143,879
144,207
144,326
144,362
144,746
144,826
145,439
146,264
146,836
146,897
147,28
147,515
147,917
148,608
148,743
149,139
149,26
149,376
149,7
15,445
15,511
15,748
15,751
15,963
15,993
150,984
151,163
152,246
153,500
153,753
153,887
154,200
154,35
154,486
155,432
155,762
156,132
156,286
156,333
156,838
157,151
157,781
157,867
158,493
159,362
159,995
16,277
16,565
160,123
160,23
160,374
160,413
160,517
160,888
161,427
161,717
161,840
162,29
162,306
162,705
163,8
163,878
163,890
164,809
164,851
165,105
165,221
165,36
165,699
165,877
166,296
167,383
167,578
167,890
168,154
168,398
168,785
168,813
168,831
169,355
169,837
169,916
17,404
17,475
17,506
17,614
170,178
170,556
170,604
170,931
171,316
172,394
173,147
173,822
173,867
174,198
174,24
174,300
174,389
174,445
174,513
174,577
174,753
174,98
174,998
175,1
175,138
175,405
175,9
176,293
176,719
176,830
176,971
177,19
177,859
178,873
178,925
179,354
179,356
18,306
18,328
18,750
180,21
180,305
181,137
181,205
181,52
181,726
181,802
181,887
182,114
182,306
182,728
182,756
183,114
183,875
183,988
184,134
184,230
184,77
185,607
185,72
186,431
186,458
186,632
187,202
187,372
187,764
189,333
189,530
19,278
19,671
190,343
190,526
190,532
190,557
190,602
190,666
190,691
190,93
191,143
191,445
191,511
191,963
192,325
193,394
193,58
193,947
194,3
194,428
194,796
194,804
194,889
195,117
195,425
195,468
195,742
197,105
197,247
197,25
197,605
197,827
197,922
198,510
198,697
199,761
2,469
2,582
2,592
2,624
2,662
20,772
20,943
200,960
200,992
201,68
201,896
202,559
202,610
203,510
203,783
203,993
204,302
204,619
204,772
204,985
205,426
205,47
205,629
206,162
206,467
206,620
206,754
207,124
207,746
207,84
208,125
208,344
208,659
209,153
209,188
209,626
209,952
21,459
210,770
212,10
212,123
212,959
213,254
213,414
213,598
214,30
214,381
214,403
214,505
214,606
215,183
215,388
215,735
215,880
215,898
216,679
216,890
216,975
217,214
217,282
217,407
217,820
217,909
218,321
218,432
218,538
218,768
218,910
219,193
219,309
22,211
22,390
22,570
220,162
220,754
220,898
221,373
222,105
222,25
222,330
222,40
222,734
222,967
223,593
223,674
224,115
224,216
224,679
225,229
225,235
225,458
225,576
225,654
225,740
226,882
227,114
227,425
227,434
227,467
227,520
228,301
228,771
229,235
229,514
229,824
23,332
23,456
23,575
230,49
230,829
230,971
232,158
232,649
232,830
233,372
233,499
233,706
233,712
234,380
234,392
234,449
234,569
235,242
235,654
235,691
235,891
236,425
236,584
236,742
236,979
237,598
237,72
238,458
238,532
238,619
238,891
239,683
239,688
239,914
24,292
24,377
24,839
240,309
240,489
240,602
240,891
241,151
241,163
241,484
241,538
242,20
242,422
242,446
242,7
242,933
243,234
243,253
243,453
243,464
243,644
243,810
244,716
244,750
244,880
245,472
245,527
245,706
246,28
