ID,Role,Resume_Skills,Skill_Match_Score,Years_of_Experience,Education_Level,Sentiment_Score,Potential_Spelling_Issues,Keywords,Technical_CV_Score,Managerial_CV_Score,Overall_CV_Score
328,Engineer,"['the delta epsilon sigma', 'upgrades, wan', 'leadership', 'identify', 'ms sql', 'sql', 'science computer information systems management city', 'united senate', 'capitol correspond', 'american military university', 'partnership for secure america', 'publications congressional scholar certificate', 'lan', 'state science computer information systems', 'state computer information systems', 'research', 'the senate information security', 'senate', 'information technology', 'intelligence and national security alliance', 'university 1999 bachelor of science : computer information systems city', 'joint professional education', 'sla', 'wan', 'council for emerging national security affairs', 'marymount university']",0.2,2024.3,Master,0.05,168,"['information', 'desktop', 'support', 'troubleshooting', 'issues', 'senate', 'city', 'security', 'designing', 'software', 'management', 'systems', 'network', 'capitol', 'correspond', 'sql', 'database', 'cyber', 'computer', 'member']",1.0,0.7804055761486741,1.0
615,Accountant,"['army', '08/2015 office assistant company name', 'create', 'c-3s', 'excel', 'maintain', 'rockwall', 'victory ranch', 'gpa', 'state', 'w-2s', 'bachelor of business administration', 'training texas a&m', 'accountant interests buffalo creek golf club', 'additional information buffalo creek golf club', 'prepare', 'eastover', '941s', 'accountant company name', 'state reconcile bank', 'tx', 'process', '940s', 'gold scholarship awarded', 'perform']",0.0,2004.3,Bachelor,0.0,67,"['creek', 'golf', '2012', 'august', 'maintain', 'company', 'ï¼', 'city', 'state', 'accounts', 'process', 'excel', 'documents', 'payroll', 'accounting', 'perform', 'end', 'reconciliations', '2015', 'gpa']",0.9847700804429703,0.444132198059547,0.9806623494142617
946,Manager,"['sell', 'leadership', 'obdii', 'skills & abilities management punctual', 'critical', 'simulate', 'jun2014-aug2014 operate', 'dtc', 'troubleshoot', 'time management', 'assess', 'kkg', 'assemble', 'automotive skills general education automotive skills general education career management class', 'communication', 'mar2009', 'may2013-jul2013 stock', 'slice', 'participate', 'troubleshoot education', 'prepare']",0.2,600.4,Associate,0.0,82,"['sales', 'associate', 'skills', 'store', 'products', 'general', 'use', 'hand', 'tools', 'maintain', 'clean', 'equipment', 'cleanliness', 'operate', 'assist', 'cash', 'register', '2009', 'needed', 'automotive']",0.2990646864582951,0.4302820356692355,0.30086244808145074
432,Marketing Specialist,"['budget management, logistics,', 'leadership', 'control systems', 'bs-liberal arts', 'administrative management, logistics management', 'rfp', 'command enlisted advisor', 'personal protective services', 'inconus', 'ctf 55.6', 'skill highlights problem', 'fire control, generators, industrial machinery', 'ctf 150', 'preventive maintenance,', 'career overview highly', 'quality improvement management', 'area command', 'patrol boats', 'state', 'coast guards', 'budget management, emergency management', 'collaboration and coordination service orientation budget microsoft office', 'bs-liberal arts bs :', 'liaison officer', 'atv', 'u.s. coast guard certification antiterrorism force protection level ii certification excelsior', 'communication', 'cotr', 'applied suicide intervention course military', 'the coast guard intelligence center', 'pulley systems', 'the kodiak arts council', 'logistics management', 'administration/management and psychology focus) military education command security', 'administration/leadership command enlisted advisor', 'combat readiness', 'antiterrorism, force protection', 'navigation']",0.2,213.1,Master,0.1,375,"['management', 'security', 'law', 'enforcement', 'various', 'units', '2009', 'officer', 'base', 'personnel', '55', '2005', '2006', 'senior', '2002', 'military', '1999', '2007', 'systems', 'renovations']",0.1056160571255881,0.17010323284176712,0.10584646545901777
740,Engineer,"['district board additional information interests church', 'crms', 'create', 'state researched', 'global risk reporting', 'associate', 'gfcid', 'laser', 'lewisville baseball association', 'cbtx', 'the facility data input template', 'project management', 'dos', 'north central texas college city', 'baseball and football spectator', 'district board skills', 'tcl', 'cagids', 'the commercial bank', 'the commercial banking - decentralized policies and procedures', 'gfpids', 'board', 'software development', 'gpa', 'green light memo', 'created project', 'credit authority delegation', 'state', 'northlake college city', 'micro soft', 'site strategies divestitures create', 'the us local commercial bank', 'ccb', 'risk management analyst', 'ach facilities', 'the cob coordinator for risk organizations', 'continuity of business and pse guidelines', 'interests church', 'boardinterests church', 'gfcids', 'credit']",0.0,125.1,Associate,0.06666666666666667,158,"['president', 'project', 'management', '01', 'company', 'city', 'state', 'business', 'reporting', 'board', 'reports', 'risk', 'managed', 'commercial', 'lending', 'gpa', 'baseball', 'member', 'lewisville', 'present']",0.06778116527530767,0.6800808326633873,0.07478147155838068
185,Teacher,"['the american psychological association', 'cornell notes', 'leadership', 'the comprehensive education plan committee', 'data analysis committee', 'the data analysis committee', 'english/social studies', 'st. francis college', 'state provided', 'national educators association', 'the social studies department', 'the american irish teachers association', 'united states school and district administration', 'brinkley middle school', 'the academic intervention services committee', 'united states political science coursework in psychology coursework', 'team player', 'developed', 'the irish history and cultural studies committee', 'saturdays created', 'the prevention and intervention specialists', 'skills enthusiastic', 'cpr certified', 'the emerald society nyc department of education', 'communication', 'school leadership team', 'data analysis', 'the committee for social and economic justice community leadership positions f.i.t. team (data inquiry team', 'additional information n.y.s. permanent license for social studies 7-12 n.y.s. professional license for literacy specialist k-12 mississippi license', 'state developed', 'current company name', 'voyager language interventionist', 'the voyager learning program', 'academy of finance', 'the danielson framework', 'the school based support team', 'intermediate school 141', 'the salvation army', 'data coach', 'touro college']",0.4,95.1,Master,0.20515151515151517,265,"['student', 'reading', 'grade', 'school', 'activities', 'plans', 'students', 'ï¼', 'city', 'state', 'social', 'studies', '2013', 'implemented', 'team', '2007', 'member', 'academy', 'finance', 'enterprise']",0.053502095045805484,0.5475112917942454,0.05895637971870653
682,Manager,"['epicor, winpak', 'excel', 'judo development association board', 'oversee', 'jul 2012 company name - city', 'state update', 'sox', 'state professional affiliations', 'recruit', 'powerpoint', 'adp payroll', 'peoplesoft', 'as400', 'state process', 'kronos', 'state', '401k', 'erp', 'erp/as400', 'chrysler', 'aca', 'ifas', 'communication', 'hris', 'supervisors and executive management', 'walsh college - city', 'facilitate', 'employee internship/co-op program']",0.2,68.1,Associate,0.11666666666666665,158,"['hr', 'company', 'attendance', 'payroll', 'employee', '2014', 'city', 'state', 'management', 'provide', 'benefits', 'workers', 'compensation', 'unemployment', 'conduct', 'open', 'managers', 'jul', 'union', 'human']",0.04162659887245617,0.7253383991757862,0.049429837976861436
461,Sales Representative,"['ms office', 'microsoft office', 'microsoft', 'health and fitness industry, service industry', 'tx', 'microsoft office excel sales force power point highlights superior', 'microsoft excel', 'excel', 'power point', 'customer service industry', 'alumni-action for autism', 'tx coursework in exercise science and nutrition science sourcing services international', 'problem-solving', 'communication', 'skills anatomy', 'arena football league', 'state', 'motion, energy fitness']",0.2,66.0,Master,0.2,194,"['medical', 'creative', 'fitness', 'industry', 'service', 'customer', 'needs', 'excel', 'company', 'microsoft', 'office', 'skills', '2013', 'team', 'reports', 'training', 'dallas', 'big', 'texas', '2012']",0.04040457333185706,0.7501104285427164,0.04853119813806487
520,Engineer,"['tdy', 'computer software 2006 ced solutions', 'business admin', 'customer support intern', 'leadership', 'information technology specialist sep 2011', 'defense acquisition university', 'the panama canal conflict', 'information systems', 'defense acquisition university training course completion', 'information technology level 3', 'project management, risk assessment', 'technical professional to management project information technology management information assurance fundamentals', 'decision making', 'information technology specialist sep', 'mcp', 'highlights strong interpersonal', 'project management', 'cor', 'information systems security', 'state effective acting', 'dtc', 'computer specialist (special assignment', 'division', 'amc computer specialist', 'cecom command', 'state', 'rtc', 'gpa', 'microsoft certified professional', 'pillar college', 'atec', ""atec headquarters qip's"", 'hardware', 'information technology', 'qa', 'computer programmer', 'information security', 'jitc', 'pm ewrsta camp evans', 'fort myers', 'communication', 'customer support branch atec headquarters', 'samjoj', 'stateexperienced', 'organizational management, business management, business communications', 'education development and system courses moving', 'artemis schedule', 'briefed', 'apg', 'kiowa', 'command', 'acq 2036']",0.2,82.1,Bachelor,0.12727272727272726,221,"['computer', 'specialist', 'information', 'technology', 'principles', 'project', 'planning', 'requirements', 'customer', 'security', 'management', 'support', 'ï¼', 'city', 'state', 'software', 'systems', '2011', '2015', 'business']",0.043956180294149876,0.3752633009169966,0.04732184900170099
678,Engineer,"['experimental aerothermodynamics,', 'excel', 'aerospace feedback control systems', 'microsoft powerpoint professional experience company', 'national level sae international fall 2014 - present active', 'microsoft powerpoint', 'orbital mechanics', 'unmanned aerial vehicles, aeronautical development and design', 'microsoft', 'society of women engineers', 'technical writing additional information involvement american institute of aeronautics and astronautics', 'f-22 raptor implemented', 'northrop grumman', 'group', 'training california state polytechnic university', 'gpa', 'state', 'f-22', 'vector dynamics', 'uavs', 'aeronautics f-22 project', 'supersonic/hypersonic aerodynamics', 'languages conversational spanish skills c programming', 'aerospace structural analysis i & ii', 'experimental aerodynamics', 'profile highly', ""lockheed martin's"", 'avl', 'aerospace engineering analysis', 'c programming', 'microsoft excel', ""the tech museum's"", 'controls of aerospace vehicles', 'matlab', 'current aviation camp', 'northrop', 'the tech museum', 'fluid dynamics', 'flightgear', 'electric circuit theory, electronics', 'gas dynamics']",0.0,62.0,Bachelor,0.0,167,"['aerospace', 'analysis', 'company', 'microsoft', '2013', 'team', 'uavs', 'aerodynamic', 'flight', 'model', 'aircraft', 'fuselage', '2014', 'dynamics', 'level', 'fall', 'present', 'active', 'member', 'national']",0.03381154744540201,0.4051786660316578,0.0376446135034492
