ID,ID,Years_of_Experience,Education_Level,Spell_Check_Ratio,Section_Score,Brevity_Score,Skill_Count,Technical_Score,Managerial_Score,Overall_Score,Extracted_Skills
811,811,13,Master,0.9744897959183674,1.0,0.97,7,0.82,0.7072253422253423,0.8346165822594394,"['communication', 'leadership', 'time management', 'organization', 'attention to detail', 'customer service', 'interpersonal skills']"
448,448,13,Bachelor,0.9745508982035929,1.0,0.83,7,0.76,0.7225768575686609,0.8012281470909576,"['communication', 'leadership', 'time management', 'organization', 'customer service', 'decision making', 'professionalism']"
595,595,20,Master,0.979539641943734,0.8,0.5449999999999999,7,0.82,0.7496374207188161,0.7853451904100183,"['communication', 'leadership', 'organization', 'attention to detail', 'customer service', 'multitasking', 'initiative']"
178,178,10,PhD,0.9744744744744744,0.8,0.835,5,0.8,0.6418528571428571,0.7735033045903046,"['communication', 'leadership', 'customer service', 'interpersonal skills', 'professionalism']"
10,10,25,Bachelor,0.9820846905537459,1.0,0.965,4,0.64,0.72905,0.7694234690553746,"['communication', 'time management', 'organization', 'critical thinking']"
649,649,13,Bachelor,0.9705882352941176,1.0,0.885,5,0.6799999999999999,0.7044623121976064,0.7688975171886936,"['communication', 'organization', 'critical thinking', 'interpersonal skills', 'professionalism']"
962,962,10,Master,0.9743223965763196,0.9,0.7475,6,0.78,0.6422102425876011,0.7668453124339123,"['communication', 'leadership', 'creativity', 'organization', 'interpersonal skills', 'initiative']"
798,798,10,Bachelor,0.9604904632152589,1.0,0.665,7,0.76,0.6622038961038961,0.7652102151526947,"['communication', 'leadership', 'problem-solving', 'time management', 'organization', 'customer service', 'initiative']"
560,560,23,Bachelor,0.9537190082644628,0.8,0.9875,5,0.6799999999999999,0.7241206050047513,0.7633580823278716,"['communication', 'leadership', 'creativity', 'organization', 'initiative']"
108,108,17,Master,0.9636150234741784,0.9,0.37,6,0.78,0.7473032564450475,0.7595524792809321,"['communication', 'leadership', 'analytical skills', 'organization', 'customer service', 'initiative']"
625,625,19,Master,0.9778481012658228,0.9,0.92,3,0.6599999999999999,0.7167356013551666,0.7588054905331322,"['communication', 'organization', 'flexibility']"
716,716,14,Master,0.9587912087912088,1.0,0.6799999999999999,4,0.7,0.714671442687747,0.7582805536854449,"['communication', 'leadership', 'organization', 'initiative']"
44,44,9,Master,0.9581950895819509,1.0,0.5,7,0.79,0.6397061063936065,0.753731340876277,"['communication', 'teamwork', 'time management', 'analytical skills', 'organization', 'customer service', 'initiative']"
744,744,28,PhD,0.9730612244897959,1.0,0.5,3,0.72,0.7228320907487574,0.7521557496736069,"['communication', 'leadership', 'customer service']"
640,640,18,Master,0.9704968944099379,1.0,0.89,2,0.62,0.7263231601731601,0.7519466374929418,"['problem-solving', 'critical thinking']"
738,738,21,Bachelor,0.954337899543379,0.9,0.8575,4,0.64,0.7474655844155844,0.7514234652790133,"['communication', 'customer service', 'decision making', 'interpersonal skills']"
943,943,14,Master,0.9666160849772383,0.7,0.8525,4,0.7,0.729680987617034,0.750815904782834,"['time management', 'organization', 'attention to detail', 'interpersonal skills']"
602,602,13,Bachelor,0.9496221662468514,0.8,0.515,7,0.76,0.7316555258467023,0.7499588743786959,"['communication', 'leadership', 'problem-solving', 'organization', 'attention to detail', 'customer service', 'critical thinking']"
89,89,30,PhD,0.973561430793157,0.7,0.8925,2,0.6799999999999999,0.7329063079777365,0.7484780354726366,"['communication', 'initiative']"
330,330,21,Master,0.9848024316109423,0.8,0.855,3,0.6599999999999999,0.7337954545454546,0.7481188795247304,"['communication', 'organization', 'critical thinking']"
43,43,23,Master,0.957592339261286,0.6,0.6725,5,0.74,0.7608541458541458,0.7472654776823723,"['communication', 'leadership', 'organization', 'attention to detail', 'customer service']"
